Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2003-21.txt	1	88	91	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-21.txt	2	149	152	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	2	188	191	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	2	167	172	ambik					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	2	132	138	lengan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-21.txt	4	250	253	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	4	265	276	harga-harga					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-21.txt	4	295	299	lima					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-21.txt	8	429	434	molek					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-21.txt	8	452	457	lapan					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	10	638	641	dua					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2003-21.txt	10	674	679	betul					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-21.txt	10	657	661	kira					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-21.txt	11	713	721	sembilan					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	12	755	758	hak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-21.txt	14	819	828	Kuranglah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	14	829	834	sikit					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	15	841	844	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-21.txt	15	867	871	bagi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-21.txt	15	945	950	harga					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-21.txt	15	872	877	sebab					1	0	0	0	0	0	1	0	0	0	0	0	0
Texts	2003-21.txt	15	885	890	kenal					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2003-21.txt	16	969	974	orang					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-21.txt	16	960	967	Bagilah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	16	967	968	,					1	0	1	0	0	0	0	0	0	0	0	0	0
Texts	2003-21.txt	17	1006	1009	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	17	1017	1021	lagi					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	17	1022	1029	kasihan					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	18	1080	1083	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	19	1167	1171	lima					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-21.txt	19	1187	1191	kira					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-21.txt	19	1123	1127	sama					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-21.txt	19	1226	1229	tak					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	19	1198	1205	spesial					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-21.txt	21	1274	1278	lima					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-21.txt	21	1263	1267	Sama					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-21.txt	22	1299	1302	Tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	22	1316	1318	ke					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	23	1325	1328	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-21.txt	26	1419	1424	Padan					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-21.txt	27	1450	1458	terailah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	27	1482	1489	belilah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	27	1465	1468	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	27	1530	1538	terailah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	27	1547	1550	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	27	1438	1443	Padan					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	27	1459	1463	dulu					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	27	1480	1481	,					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	27	1490	1496	sekali					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	27	1501	1507	sedang					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-21.txt	27	1539	1543	dulu					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	27	1557	1560	tak					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-21.txt	28	1584	1587	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	31	1698	1701	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	32	1734	1738	enam					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-21.txt	32	1763	1768	murah					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-21.txt	33	1795	1798	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	34	1815	1818	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	34	1809	1812	Ada					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-21.txt	36	1955	1960	padan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-21.txt	38	2019	2027	ambiklah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-21.txt	38	2002	2005	Tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-21.txt	39	2042	2049	Belikan					1	1	0	0	0	0	0	0	0	0	0	0	0
