Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2003-5.txt	3	163	167	buat					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-5.txt	3	125	133	bolehlah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-5.txt	3	123	124	,					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-5.txt	3	89	95	Taklah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-5.txt	4	178	182	Bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-5.txt	4	183	187	tiga					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2003-5.txt	5	254	259	macam					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2003-5.txt	5	265	268	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-5.txt	5	216	219	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-5.txt	6	297	300	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-5.txt	6	293	296	pun					1	0	0	0	1	0	0	0	0	0	0	0	0
