Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2003-20.txt	0	16	19	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-20.txt	0	33	37	lagi					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-20.txt	1	46	53	Bagilah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-20.txt	1	54	58	lima					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2003-20.txt	2	72	75	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-20.txt	2	93	97	mari					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-20.txt	4	158	165	Bagilah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-20.txt	6	243	247	bagi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-20.txt	7	298	303	murah					1	0	0	0	0	0	0	0	0	1	0	0	0
