Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2003-71.txt	1	88	95	lainlah					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-71.txt	2	107	113	lembut					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-71.txt	3	197	206	kuranglah					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-71.txt	3	186	191	boleh					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-71.txt	4	227	232	boleh					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-71.txt	4	212	215	Dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	5	238	241	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	5	270	271	,					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-71.txt	5	282	286	tiga					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-71.txt	6	301	304	Dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	7	376	381	boleh					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	7	390	393	dua					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2003-71.txt	10	536	542	kurang					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-71.txt	10	505	509	Baru					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	10	543	545	tu					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-71.txt	11	558	562	bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-71.txt	11	563	566	dua					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	12	596	605	Kesianlah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-71.txt	12	623	626	kak					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2003-71.txt	15	701	708	Setakat					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	16	798	805	setakat					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2003-71.txt	17	843	846	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	17	828	831	Dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	19	1000	1008	sikitlah					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-71.txt	19	995	999	Naik					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-71.txt	20	1024	1028	Bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-71.txt	20	1029	1033	tiga					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	23	1149	1156	Eloklah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	24	1181	1184	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	25	1217	1223	berapa					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-71.txt	26	1230	1237	Setakat					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	27	1250	1257	Setakat					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	28	1271	1274	Dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	29	1292	1295	Nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	29	1307	1311	bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-71.txt	29	1312	1316	tiga					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	30	1361	1367	barang					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	31	1386	1390	Bagi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	31	1396	1401	betul					1	0	0	0	0	0	1	0	0	0	0	0	0
Texts	2003-71.txt	32	1411	1414	Dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	33	1441	1446	boleh					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	33	1451	1452	,					1	0	0	0	0	0	1	0	0	0	0	0	0
Texts	2003-71.txt	33	1463	1466	dah					1	0	0	0	0	0	1	0	0	0	0	0	0
Texts	2003-71.txt	34	1532	1535	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	34	1490	1495	murah					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-71.txt	35	1645	1650	minta					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	35	1671	1675	bagi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	35	1676	1679	dua					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-71.txt	35	1631	1635	Kira					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-71.txt	35	1636	1643	ginilah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	35	1651	1654	dua					1	0	0	0	0	0	1	0	0	0	0	0	0
Texts	2003-71.txt	36	1728	1733	mahal					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	36	1698	1702	Satu					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-71.txt	38	1771	1776	Mahal					1	0	0	0	0	0	0	0	0	1	0	0	0
