Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2003-72.txt	1	46	52	Mintak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	2	74	77	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	3	89	95	Mintak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	3	96	106	sebelaslah					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-72.txt	4	118	121	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	5	167	170	kat					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-72.txt	5	137	145	Bolehlah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-72.txt	6	186	189	Dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-72.txt	6	197	200	dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-72.txt	6	213	216	dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-72.txt	6	228	231	dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-72.txt	6	244	247	dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-72.txt	7	315	316	,					1	0	0	0	0	0	1	0	0	0	0	0	0
Texts	2003-72.txt	9	355	363	Sembilan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-72.txt	11	468	472	Lima					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-72.txt	11	473	476	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	12	512	515	dah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-72.txt	12	598	603	jugak					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-72.txt	17	799	803	Bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-72.txt	17	804	808	lima					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	17	837	841	cari					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	17	856	862	sampai					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	19	930	938	bolehlah					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	19	917	921	lima					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-72.txt	20	957	961	bagi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-72.txt	20	962	966	enam					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2003-72.txt	20	945	950	Tidak					1	1	0	0	0	0	0	0	0	0	0	0	0
