Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2003-8.txt	0	4	8	Bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-8.txt	0	9	11	ni					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	1	56	61	Padan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-8.txt	1	132	137	padan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-8.txt	1	111	116	pakai					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-8.txt	3	158	162	Bagi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	3	163	168	lapan					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-8.txt	4	185	194	Kuranglah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-8.txt	4	195	200	sikit					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-8.txt	6	237	240	Tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-8.txt	6	253	257	lagi					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-8.txt	9	378	382	Bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-8.txt	9	383	387	lima					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	10	444	447	tak					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-8.txt	10	519	524	dapat					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	12	586	591	basuh					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-8.txt	12	592	597	macam					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-8.txt	12	629	634	molek					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-8.txt	13	691	695	Bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-8.txt	13	696	700	enam					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	14	726	729	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	14	748	752	mari					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2003-8.txt	14	821	824	dak					1	0	0	0	0	0	1	0	0	0	0	0	0
Texts	2003-8.txt	14	806	811	bukan					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	16	868	871	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	17	893	902	Kuranglah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-8.txt	17	903	908	sikit					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-8.txt	18	920	926	Mintak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	18	948	952	lima					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-8.txt	18	978	981	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-8.txt	18	964	967	tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-8.txt	19	1034	1037	dah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-8.txt	19	1012	1017	ambil					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-8.txt	19	1055	1058	dah					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-8.txt	20	1092	1098	naklah					1	1	0	0	0	0	0	0	0	0	0	0	0
