Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2003-37.txt	1	42	47	boleh					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-37.txt	1	24	27	Dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	1	55	59	lagi					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-37.txt	2	65	68	Nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-37.txt	2	75	80	takut					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-37.txt	3	130	134	bagi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-37.txt	4	148	151	Tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	4	177	184	sepuluh					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	4	185	188	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-37.txt	5	223	226	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-37.txt	6	249	257	sembilan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	6	270	276	serupa					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	9	359	362	Dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	10	389	395	Kurang					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-37.txt	10	396	402	berapa					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-37.txt	11	419	424	boleh					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-37.txt	11	409	412	Dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	13	475	480	ambil					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-37.txt	14	491	494	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-37.txt	15	518	523	bawak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-37.txt	15	548	552	mari					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-37.txt	15	564	568	buat					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	15	524	528	saja					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-37.txt	15	507	511	Buat					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	15	537	540	dua					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	16	589	597	sembilan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	18	667	672	empat					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-37.txt	21	821	824	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-37.txt	21	839	851	bagi-bagilah					1	0	0	0	0	1	0	0	0	0	0	0	0
