Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2003-4.txt	2	69	73	Jual					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-4.txt	3	111	114	Tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-4.txt	4	137	140	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-4.txt	4	158	161	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-4.txt	4	182	187	jenis					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-4.txt	5	222	229	seratus					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2003-4.txt	5	280	285	mahal					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-4.txt	6	342	350	pergilah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2003-4.txt	6	411	416	mahal					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2003-4.txt	6	445	448	tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2003-4.txt	7	473	486	tengok-tengok					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2003-4.txt	7	487	491	dulu					1	0	0	0	0	0	0	0	0	0	1	0	0
